Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-QEG5-1426-SM-447AS_esophagus_male_20-29_years	1/1550	0.89567983597648848093086826338549144566059112548828125	0.99990558602903700791131313962978310883045196533203125	0.896323779888908322988072541193105280399322509765625	0.9999121299421773745308428260614164173603057861328125	0.8516185572412078	-0.09382473751743603	KLF5
GTEX-XV7Q-2226-SM-4BRVY_colon_female_40-49_years	1/1024	0.77067702097886525702818971694796346127986907958984375	0.99990558602903700791131313962978310883045196533203125	0.7715250288735611139401271429960615932941436767578125	0.9999121299421773745308428260614164173603057861328125	0.3603012483679117	-0.09385339582489775	CCBE1
GTEX-TSE9-1226-SM-4DXTM_esophagus_female_60-69_years	1/1574	0.89941617251693906087695040696416981518268585205078125	0.99990558602903700791131313962978310883045196533203125	0.900050746519190258965181783423759043216705322265625	0.9999121299421773745308428260614164173603057861328125	0.8855302160358993	-0.09387454756654086	KLF5
GTEX-NPJ7-2826-SM-2I3FU_brain_female_60-69_years	2/2630	0.8990405356999968677911283521098084747791290283203125	0.99990558602903700791131313962978310883045196533203125	0.900096382129470296007411889149807393550872802734375	0.9999121299421773745308428260614164173603057861328125	0.8822550690537455	-0.09389589765478491	SPOCK2;CPE
GTEX-X4EO-0326-SM-3P5YO_skin_female_60-69_years	1/991	0.75923609436935424188419574420549906790256500244140625	0.99990558602903700791131313962978310883045196533203125	0.7600965445893994587578390564885921776294708251953125	0.9999121299421773745308428260614164173603057861328125	0.34104440849913514	-0.09393812113910285	KLF5
GTEX-S33H-1326-SM-4AD6A_adrenal gland_male_30-39_years	1/1486	0.885050274365937195142350901733152568340301513671875	0.99990558602903700791131313962978310883045196533203125	0.8857192740180648282688480321667157113552093505859375	0.9999121299421773745308428260614164173603057861328125	0.769680657950478	-0.09398634274157641	RBP1
GTEX-XBEW-0006-SM-4AT4E_blood_male_40-49_years	1/1604	0.90390540342347203139894418200128711760044097900390625	0.99990558602903700791131313962978310883045196533203125	0.90452829263255341007976539913215674459934234619140625	0.9999121299421773745308428260614164173603057861328125	0.9304506444467031	-0.09400395551894092	ARHGDIB
GTEX-RTLS-0526-SM-2TF64_muscle_female_60-69_years	1/992	0.75959073632378715235091704016667790710926055908203125	0.99990558602903700791131313962978310883045196533203125	0.7604508102388998214138382536475546658039093017578125	0.9999121299421773745308428260614164173603057861328125	0.34255008471860593	-0.09419287930807502	FHL1
GTEX-XPVG-1826-SM-4B64X_colon_male_50-59_years	1/1552	0.89599624004630673557159070696798153221607208251953125	0.99990558602903700791131313962978310883045196533203125	0.8966394023949533220729790627956390380859375	0.9999121299421773745308428260614164173603057861328125	0.858347403843601	-0.09426290709748517	KLF5
GTEX-PLZ5-1126-SM-3P613_colon_male_50-59_years	1/1611	0.9049247446381041282137402959051541984081268310546875	0.99990558602903700791131313962978310883045196533203125	0.9055449124311933939424079653690569102764129638671875	0.9999121299421773745308428260614164173603057861328125	0.9441832220819886	-0.09432720270713858	KLF5
GTEX-R55E-0011-R7A-SM-2TC5Z_brain_male_20-29_years	1/1579	0.90017816775431214182390249334275722503662109375	0.99990558602903700791131313962978310883045196533203125	0.900810791983910785774014584603719413280487060546875	0.9999121299421773745308428260614164173603057861328125	0.8971119285478139	-0.0943425969514495	CPE
GTEX-P4QR-0726-SM-2I5GO_muscle_male_60-69_years	1/1129	0.803697335262883338913297848193906247615814208984375	0.99990558602903700791131313962978310883045196533203125	0.804505396553050644570248550735414028167724609375	0.9999121299421773745308428260614164173603057861328125	0.43219036931929017	-0.09444765457054788	FHL1
GTEX-QMR6-0011-R8A-SM-32PKJ_brain_male_50-59_years	3/3664	0.90913656109722473797063457823242060840129852294921875	0.99990558602903700791131313962978310883045196533203125	0.9105282253966660022115320316515862941741943359375	0.9999121299421773745308428260614164173603057861328125	0.993440656824758	-0.09463512106441216	SPOCK2;CPE;MAP6
GTEX-WFJO-0926-SM-4LVM2_small intestine_male_30-39_years	2/2605	0.89581859028498767028025895342580042779445648193359375	0.99990558602903700791131313962978310883045196533203125	0.896887743785561131204531193361617624759674072265625	0.9999121299421773745308428260614164173603057861328125	0.8603699187712858	-0.09465562081113192	COL4A4;COL4A3
GTEX-XLM4-0011-R2B-SM-4AT5Z_brain_male_60-69_years	1/1135	0.80543868944317775770969092263840138912200927734375	0.99990558602903700791131313962978310883045196533203125	0.80624445109037223833325924715609289705753326416015625	0.9999121299421773745308428260614164173603057861328125	0.43780462683851373	-0.09472699650746322	SPOCK2
GTEX-T6MN-0011-R8A-SM-32QP3_brain_male_50-59_years	2/1800	0.731420457359015951936953570111654698848724365234375	0.99990558602903700791131313962978310883045196533203125	0.73282931303281007018313175649382174015045166015625	0.9999121299421773745308428260614164173603057861328125	0.3030062572168099	-0.0947702985162303	SPOCK2;MAP6
GTEX-XQ8I-2026-SM-4BOOL_stomach_male_50-59_years	1/1409	0.8708737728679685208277305719093419611454010009765625	0.99990558602903700791131313962978310883045196533203125	0.8715729780877696786234309911378659307956695556640625	0.9999121299421773745308428260614164173603057861328125	0.6855897791814706	-0.09478843260639633	THBD
