Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GTEX-QEL4-0526-SM-3GIJ4_blood vessel_male_50-59_years	1/1441	0.31197215051872551061507010672357864677906036376953125	0.41254887808340046095878506093868054449558258056640625	0.322451588690813306659066483916831202805042266845703125	0.426358967892992823944808833402930758893489837646484375	-0.8559280665794853	0.9970204099821809	ANGPTL1
GTEX-V955-0005-SM-3P5ZC_blood_male_60-69_years	1/1452	0.3140089396654701658917474560439586639404296875	0.41254887808340046095878506093868054449558258056640625	0.324541378657752732639352188925840891897678375244140625	0.426358967892992823944808833402930758893489837646484375	-0.8605341571073999	0.99678582020239	TSC22D3
GTEX-X4XX-0005-SM-3NMCS_blood_male_60-69_years	1/1463	0.316040902279737079272337041402352042496204376220703125	0.41254887808340046095878506093868054449558258056640625	0.326626008918613985887446915512555278837680816650390625	0.426358967892992823944808833402930758893489837646484375	-0.8652644702956803	0.9966839842993374	G0S2
GTEX-XXEK-1226-SM-4BRUY_prostate_male_50-59_years	1/1459	0.315302564688263731174089343767263926565647125244140625	0.41254887808340046095878506093868054449558258056640625	0.3258685579307336599441669022780843079090118408203125	0.426358967892992823944808833402930758893489837646484375	-0.860726200486897	0.9934696143737746	G0S2
GTEX-U8XE-0226-SM-4E3J3_skin_male_30-39_years	1/1440	0.311786748259339330235917486788821406662464141845703125	0.41254887808340046095878506093868054449558258056640625	0.322261351600932999250659349854686297476291656494140625	0.426358967892992823944808833402930758893489837646484375	-0.846478222184394	0.9865160443978707	G0S2
GTEX-WEY5-2226-SM-3GILQ_nerve_female_40-49_years	1/1455	0.314563589586651703999820028911926783621311187744140625	0.41254887808340046095878506093868054449558258056640625	0.325110425499560318218783550037187524139881134033203125	0.426358967892992823944808833402930758893489837646484375	-0.8518075467574003	0.9851742286411742	TSC22D3
GTEX-QDVN-0426-SM-48TZ6_adrenal gland_male_50-59_years	1/1438	0.311415823773123767725934385453001596033573150634765625	0.41254887808340046095878506093868054449558258056640625	0.321880749255410825160339527428732253611087799072265625	0.426358967892992823944808833402930758893489837646484375	-0.8441845191215842	0.9848477826482299	ANGPTL1
GTEX-S7PM-0006-SM-3NM8C_blood_male_60-69_years	1/1414	0.306952242073432801650056944708921946585178375244140625	0.41254887808340046095878506093868054449558258056640625	0.31730016865084575972133507093531079590320587158203125	0.426358967892992823944808833402930758893489837646484375	-0.8332057771968739	0.9840686037989202	G0S2
GTEX-VJYA-1126-SM-3GIJU_skin_male_60-69_years	1/1415	0.3071386855465310095070208262768574059009552001953125	0.41254887808340046095878506093868054449558258056640625	0.317491518986350584885514081179280765354633331298828125	0.426358967892992823944808833402930758893489837646484375	-0.8322054688453254	0.9823818465144476	COL6A6
GTEX-T6MO-1426-SM-4DM73_cervix uteri_female_40-49_years	1/1460	0.3154872088360292092801273611257784068584442138671875	0.41254887808340046095878506093868054449558258056640625	0.3260579845439772750381735022529028356075286865234375	0.426358967892992823944808833402930758893489837646484375	-0.8514814667004745	0.9823006442962372	ENPP2
GTEX-RTLS-0326-SM-2TF6A_nerve_female_60-69_years	1/1574	0.336277097700809768365814989010686986148357391357421875	0.42291531566043472079030607346794568002223968505859375	0.347375244572398711451199915245524607598781585693359375	0.436863528712877258186608742107637226581573486328125	-0.8983821483283304	0.9790746202938292	TSC22D3
GTEX-NFK9-0008-SM-4E3JE_skin_male_40-49_years	1/1463	0.316040902279737079272337041402352042496204376220703125	0.41254887808340046095878506093868054449558258056640625	0.326626008918613985887446915512555278837680816650390625	0.426358967892992823944808833402930758893489837646484375	-0.8495864423016785	0.9786247204055147	ENPP2
GTEX-U8T8-0426-SM-3DB8X_nerve_male_60-69_years	1/1494	0.321741449099541665379575761107844300568103790283203125	0.4167317816908349126236998927197419106960296630859375	0.3324731986748685752530718673369847238063812255859375	0.430631952569353548820885180248296819627285003662109375	-0.8622530983276169	0.9778010571081335	TSC22D3
GTEX-Q2AG-0011-R2A-SM-2HMIT_brain_female_40-49_years	1/1516	0.325763889802045680799125193516374565660953521728515625	0.417580704658613799384880849174805916845798492431640625	0.33659811994129740231329606103827245533466339111328125	0.431453833843576273210373983602039515972137451171875	-0.8606315488094956	0.9652692190568594	ENPP2
GTEX-XYKS-0526-SM-4BRW2_lung_female_60-69_years	1/1434	0.310673495061288662544285443800617940723896026611328125	0.41254887808340046095878506093868054449558258056640625	0.3211190315385008542392597519210539758205413818359375	0.426358967892992823944808833402930758893489837646484375	-0.8216596313579159	0.9605306044405892	COL6A6
GTEX-QEG4-0526-SM-48TZD_lung_male_30-39_years	1/1458	0.31511788067379253863720123263192363083362579345703125	0.41254887808340046095878506093868054449558258056640625	0.325679088734955879402832579216919839382171630859375	0.426358967892992823944808833402930758893489837646484375	-0.8311584468956711	0.9598288275192451	COL6A6
GTEX-POMQ-0526-SM-3GADD_lung_female_20-29_years	1/1416	0.307325088938342816380355770888854749500751495361328125	0.41254887808340046095878506093868054449558258056640625	0.31768282645350875981193894403986632823944091796875	0.426358967892992823944808833402930758893489837646484375	-0.8083866097318125	0.9537742705584312	COL6A6
GTEX-WZTO-0426-SM-3NM99_lung_male_40-49_years	1/1463	0.316040902279737079272337041402352042496204376220703125	0.41254887808340046095878506093868054449558258056640625	0.326626008918613985887446915512555278837680816650390625	0.426358967892992823944808833402930758893489837646484375	-0.8278951980080044	0.9536389310553042	COL6A6
GTEX-S32W-1426-SM-4AD66_uterus_female_50-59_years	1/1437	0.311230301583670321274865955274435691535472869873046875	0.41254887808340046095878506093868054449558258056640625	0.321690383963406378864391399474698118865489959716796875	0.426358967892992823944808833402930758893489837646484375	-0.8125615292736563	0.9484397918779217	ENPP2
GTEX-QDT8-0226-SM-32PL4_adipose tissue_female_30-39_years	1/1466	0.316594237380100285150774652720429003238677978515625	0.41254887808340046095878506093868054449558258056640625	0.327193650227009469322325685425312258303165435791015625	0.426358967892992823944808833402930758893489837646484375	-0.8236869682958331	0.94735066211222	G0S2
GTEX-QEL4-0426-SM-3GACZ_nerve_male_50-59_years	1/1565	0.334654392223080965340642478622612543404102325439453125	0.42291531566043472079030607346794568002223968505859375	0.345712177632360118106902291401638649404048919677734375	0.436863528712877258186608742107637226581573486328125	-0.8647120324354924	0.9465630314672171	TSC22D3
